SampleID,Station_DL,StationType_Final,Count,StationCode,SampleDate,ProjectCode,EventCode,ProtocolCode,AgencyCode,SampleComments,LocationCode,GeometryShape,CollectionTime,CollectionMethodCode,Replicate,CollectionDeviceName,TisSource,TissueCollectionComments,OrganismID,OrganismName,CommonName,TagNumber,LifeStageCode,TotalCount,PartCreated,SampleID,ForkLength,TotalLength,UnitLengthFish,LengthSource,Weight,UnitWeightFish,WeightSource,SizeDescr,Age,Sex,Anomaly,ProcessedOrganismsExpandedFishComments,TissueID,TissueName,PartsPrepPreservationName,EntryDateTime,TissueWeight,UnitTissueWeight,PartsComments,CompositeID,CompositeType,CompositeReplicate,CompositeWeight,UnitCompositeWeight,HomogDate,OrganismGroup,CompAgencyCode,CompositeComments
17MMP-AN-CB010-MP_1,CB010,Field,33,CB10,2017-07-05,17-18_MP_Moore,TI,RMP,MPSL-MLML,,OpenWater1,Point,11:41,Trawl,1,MPSL-MLML_OtterTrawl_16,Resident,,17MMP-AN-CB010-MP_1,Engraulidae,Anchovies,,A,1,Yes,,,5.1,cm,,0.6,g,,,,,,,17MMP-AN-CB010-MP_1,GUT,Not Recorded,1/1/1950,-88,g,,17MMP-AN-CB010-MP_1,Normal,1,-88,g,1/1/1950,Fish,UoT-RL,
17MMP-AN-CB010-MP_10,CB010,Field,11,CB10,2017-07-05,17-18_MP_Moore,TI,RMP,MPSL-MLML,,OpenWater1,Point,11:41,Trawl,1,MPSL-MLML_OtterTrawl_16,Resident,,17MMP-AN-CB010-MP_10,Engraulidae,Anchovies,,A,1,Yes,,,5.9,cm,,1.2,g,,,,,,,17MMP-AN-CB010-MP_10,GUT,Not Recorded,1/1/1950,-88,g,,17MMP-AN-CB010-MP_10,Normal,1,-88,g,1/1/1950,Fish,UoT-RL,
17MMP-AN-CB010-MP_2,CB010,Field,21,CB10,2017-07-05,17-18_MP_Moore,TI,RMP,MPSL-MLML,,OpenWater1,Point,11:41,Trawl,1,MPSL-MLML_OtterTrawl_16,Resident,,17MMP-AN-CB010-MP_2,Engraulidae,Anchovies,,A,1,Yes,,,4.9,cm,,0.7,g,,,,,,,17MMP-AN-CB010-MP_2,GUT,Not Recorded,1/1/1950,-88,g,,17MMP-AN-CB010-MP_2,Normal,1,-88,g,1/1/1950,Fish,UoT-RL,
17MMP-AN-CB010-MP_3,CB010,Field,18,CB10,2017-07-05,17-18_MP_Moore,TI,RMP,MPSL-MLML,,OpenWater1,Point,11:41,Trawl,1,MPSL-MLML_OtterTrawl_16,Resident,,17MMP-AN-CB010-MP_3,Engraulidae,Anchovies,,A,1,Yes,,,5.5,cm,,1.1,g,,,,,,,17MMP-AN-CB010-MP_3,GUT,Not Recorded,1/1/1950,-88,g,,17MMP-AN-CB010-MP_3,Normal,1,-88,g,1/1/1950,Fish,UoT-RL,
17MMP-AN-CB010-MP_4,CB010,Field,33,CB10,2017-07-05,17-18_MP_Moore,TI,RMP,MPSL-MLML,,OpenWater1,Point,11:41,Trawl,1,MPSL-MLML_OtterTrawl_16,Resident,,17MMP-AN-CB010-MP_4,Engraulidae,Anchovies,,A,1,Yes,,,6.4,cm,,1.3,g,,,,,,,17MMP-AN-CB010-MP_4,GUT,Not Recorded,1/1/1950,-88,g,,17MMP-AN-CB010-MP_4,Normal,1,-88,g,1/1/1950,Fish,UoT-RL,
17MMP-AN-CB010-MP_5,CB010,Field,18,CB10,2017-07-05,17-18_MP_Moore,TI,RMP,MPSL-MLML,,OpenWater1,Point,11:41,Trawl,1,MPSL-MLML_OtterTrawl_16,Resident,,17MMP-AN-CB010-MP_5,Engraulidae,Anchovies,,A,1,Yes,,,6.2,cm,,1,g,,,,,,,17MMP-AN-CB010-MP_5,GUT,Not Recorded,1/1/1950,-88,g,,17MMP-AN-CB010-MP_5,Normal,1,-88,g,1/1/1950,Fish,UoT-RL,
17MMP-AN-CB010-MP_6,CB010,Field,10,CB10,2017-07-05,17-18_MP_Moore,TI,RMP,MPSL-MLML,,OpenWater1,Point,11:41,Trawl,1,MPSL-MLML_OtterTrawl_16,Resident,,17MMP-AN-CB010-MP_6,Engraulidae,Anchovies,,A,1,Yes,,,5.6,cm,,0.8,g,,,,,,,17MMP-AN-CB010-MP_6,GUT,Not Recorded,1/1/1950,-88,g,,17MMP-AN-CB010-MP_6,Normal,1,-88,g,1/1/1950,Fish,UoT-RL,
17MMP-AN-CB010-MP_7,CB010,Field,19,CB10,2017-07-05,17-18_MP_Moore,TI,RMP,MPSL-MLML,,OpenWater1,Point,11:41,Trawl,1,MPSL-MLML_OtterTrawl_16,Resident,,17MMP-AN-CB010-MP_7,Engraulidae,Anchovies,,A,1,Yes,,,5.3,cm,,0.9,g,,,,,,,17MMP-AN-CB010-MP_7,GUT,Not Recorded,1/1/1950,-88,g,,17MMP-AN-CB010-MP_7,Normal,1,-88,g,1/1/1950,Fish,UoT-RL,
17MMP-AN-CB010-MP_8,CB010,Field,20,CB10,2017-07-05,17-18_MP_Moore,TI,RMP,MPSL-MLML,,OpenWater1,Point,11:41,Trawl,1,MPSL-MLML_OtterTrawl_16,Resident,,17MMP-AN-CB010-MP_8,Engraulidae,Anchovies,,A,1,Yes,,,5.3,cm,,0.9,g,,,,,,,17MMP-AN-CB010-MP_8,GUT,Not Recorded,1/1/1950,-88,g,,17MMP-AN-CB010-MP_8,Normal,1,-88,g,1/1/1950,Fish,UoT-RL,
17MMP-AN-CB010-MP_9,CB010,Field,27,CB10,2017-07-05,17-18_MP_Moore,TI,RMP,MPSL-MLML,,OpenWater1,Point,11:41,Trawl,1,MPSL-MLML_OtterTrawl_16,Resident,,17MMP-AN-CB010-MP_9,Engraulidae,Anchovies,,A,1,Yes,,,6,cm,,1.4,g,,,,,,,17MMP-AN-CB010-MP_9,GUT,Not Recorded,1/1/1950,-88,g,,17MMP-AN-CB010-MP_9,Normal,1,-88,g,1/1/1950,Fish,UoT-RL,
17MMP-AN-CB037-MP_1,CB037,Field,27,CB37,2017-07-06,17-18_MP_Moore,TI,RMP,MPSL-MLML,,OpenWater1,Point,08:13,Trawl,1,MPSL-MLML_OtterTrawl_16,Resident,,17MMP-AN-CB037-MP_1,Engraulidae,Anchovies,,A,1,Yes,,,9,cm,,4.2,g,,,,,,,17MMP-AN-CB037-MP_1,GUT,Not Recorded,1/1/1950,-88,g,,17MMP-AN-CB037-MP_1,Normal,1,-88,g,1/1/1950,Fish,UoT-RL,
17MMP-AN-CB037-MP_10,CB037,Field,4,CB37,2017-07-06,17-18_MP_Moore,TI,RMP,MPSL-MLML,,OpenWater1,Point,08:13,Trawl,1,MPSL-MLML_OtterTrawl_16,Resident,,17MMP-AN-CB037-MP_10,Engraulidae,Anchovies,,A,1,Yes,,,8.8,cm,,4.6,g,,,,,,,17MMP-AN-CB037-MP_10,GUT,Not Recorded,1/1/1950,-88,g,,17MMP-AN-CB037-MP_10,Normal,1,-88,g,1/1/1950,Fish,UoT-RL,
17MMP-AN-CB037-MP_2,CB037,Field,14,CB37,2017-07-06,17-18_MP_Moore,TI,RMP,MPSL-MLML,,OpenWater1,Point,08:13,Trawl,1,MPSL-MLML_OtterTrawl_16,Resident,,17MMP-AN-CB037-MP_2,Engraulidae,Anchovies,,A,1,Yes,,,8.8,cm,,4.6,g,,,,,,,17MMP-AN-CB037-MP_2,GUT,Not Recorded,1/1/1950,-88,g,,17MMP-AN-CB037-MP_2,Normal,1,-88,g,1/1/1950,Fish,UoT-RL,
17MMP-AN-CB037-MP_3,CB037,Field,26,CB37,2017-07-06,17-18_MP_Moore,TI,RMP,MPSL-MLML,,OpenWater1,Point,08:13,Trawl,1,MPSL-MLML_OtterTrawl_16,Resident,,17MMP-AN-CB037-MP_3,Engraulidae,Anchovies,,A,1,Yes,,,8.6,cm,,3.7,g,,,,,,,17MMP-AN-CB037-MP_3,GUT,Not Recorded,1/1/1950,-88,g,,17MMP-AN-CB037-MP_3,Normal,1,-88,g,1/1/1950,Fish,UoT-RL,
17MMP-AN-CB037-MP_4,CB037,Field,11,CB37,2017-07-06,17-18_MP_Moore,TI,RMP,MPSL-MLML,,OpenWater1,Point,08:13,Trawl,1,MPSL-MLML_OtterTrawl_16,Resident,,17MMP-AN-CB037-MP_4,Engraulidae,Anchovies,,A,1,Yes,,,9,cm,,4.3,g,,,,,,,17MMP-AN-CB037-MP_4,GUT,Not Recorded,1/1/1950,-88,g,,17MMP-AN-CB037-MP_4,Normal,1,-88,g,1/1/1950,Fish,UoT-RL,
17MMP-AN-CB037-MP_5,CB037,Field,17,CB37,2017-07-06,17-18_MP_Moore,TI,RMP,MPSL-MLML,,OpenWater1,Point,08:13,Trawl,1,MPSL-MLML_OtterTrawl_16,Resident,,17MMP-AN-CB037-MP_5,Engraulidae,Anchovies,,A,1,Yes,,,8.8,cm,,4.4,g,,,,,,,17MMP-AN-CB037-MP_5,GUT,Not Recorded,1/1/1950,-88,g,,17MMP-AN-CB037-MP_5,Normal,1,-88,g,1/1/1950,Fish,UoT-RL,
