SampleID,StationCode,SampleDate,SampleType,Replicate,ActualLatitude,ActualLongitude,Volume,Count,ProjectCode,EventCode,ProtocolCode,AgencyCode,SampleComments,LocationCode,GeometryShape,CollectionTime,CollectionMethodCode,CollectionDeviceName,CollectionDepth,UnitCollectionDepth,PositionWaterColumn,LabCollectionComments
CB4-Manta-16Nov2017,CB04,11/16/2017,Grab,1,37.92291,-122.43303,102764.1357,630,17-18_MP_Moore,WQ,17-18_MP_Moore,SFEI,,OpenWater1,Line,10:36:00 AM,Trawl,5Gyres Manta Trawl,0,m,Surface,"Speed start 3 at 90deg, end 3 at 120deg; boat in area so bumped lots of eel grass on flow meter. Washed from both ends of tube. 2 sample jars."
CB-4-Manta-21Aug2017,CB04,8/21/2017,Grab,1,37.91556667,-122.4412167,201279.083,89,17-18_MP_Moore,WQ,17-18_MP_Moore,SFEI,,OpenWater1,Line,8:45:00 AM,Trawl,5Gyres Manta Trawl,0,m,Surface,The flowmeter wheel was missing when sample was collect (the numbers read: 008983 at the end) But this is not good data bc we don't know when the wheel fell off. 
CB5-Manta-16Nov2017,CB05,11/16/2017,Grab,1,37.84451,-122.40693,133796.2915,254,17-18_MP_Moore,WQ,17-18_MP_Moore,SFEI,,OpenWater1,Line,3:44:00 PM,Trawl,5Gyres Manta Trawl,0,m,Surface,
CB5-Manta-22Aug2017,CB05,8/22/2017,Grab,1,37.84303333,-122.4150333,137527.5629,62,17-18_MP_Moore,WQ,17-18_MP_Moore,SFEI,,OpenWater1,Line,4:17:00 PM,Trawl,5Gyres Manta Trawl,0,m,Surface,"Boat speed - 2.5 knots over water, 3.4 knots over ground; Distance traveled - 2.9 miles; Super choppy; Depth - 124 ft; COG - 275; SOG - 4.4 knots"
CB5-Manta-5Nov2017,CB05,11/5/2017,Grab,1,37.84506667,-122.40658,67444.75521,312,17-18_MP_Moore,WQ,17-18_MP_Moore,SFEI,,OpenWater1,Line,10:01:00 AM,Trawl,5Gyres Manta Trawl,0,m,Surface,"Current heading ESE foam lines with birds (tidal?); Photo and Video; Threw out big piece of stick from sample (rinsed well over sieve); High tide 11:37, tide going in"
CB5-Manta-DUP-5Nov2017,CB05,11/5/2017,Grab,2,37.84506667,-122.40658,109876.2878,300,17-18_MP_Moore,WQ,17-18_MP_Moore,SFEI,,OpenWater1,Line,10:51:00 AM,Trawl,5Gyres Manta Trawl,0,m,Surface,Foam from tide or island; passed through 2 foam lines; Photo and Video
CB6-Manta-16Nov2017,CB06,11/16/2017,Grab,1,37.83391,-122.32214,126039.4205,60,17-18_MP_Moore,WQ,17-18_MP_Moore,SFEI,,OpenWater1,Line,12:13:00 PM,Trawl,5Gyres Manta Trawl,0,m,Surface,
CB6-Manta-22Aug2017,CB06,8/22/2017,Grab,1,37.83421667,-122.3204,82006.99184,156,17-18_MP_Moore,WQ,17-18_MP_Moore,SFEI,,OpenWater1,Line,1:40:00 PM,Trawl,5Gyres Manta Trawl,0,m,Surface,Eel grass wrapped around flow meter; Distance traveled - .99 miles; Depth - 12 feet; COG - 229; SOG - 1.7 knots; Foam lines wind-driven
CB7-Manta-16Nov2017,CB07,11/16/2017,Grab,1,37.77953,-122.35372,136451.4742,549,17-18_MP_Moore,WQ,17-18_MP_Moore,SFEI,,OpenWater1,Line,1:36:00 PM,Trawl,5Gyres Manta Trawl,0,m,Surface,Distance traveled: .4nm but huge current; Eel grass around the flow meter
CB7-Manta-22Aug2017,CB07,8/22/2017,Grab,1,37.77808333,-122.3549167,211170.5853,514,17-18_MP_Moore,WQ,17-18_MP_Moore,SFEI,,OpenWater1,Line,3:07:00 PM,Trawl,5Gyres Manta Trawl,0,m,Surface,"INJURY at this site with film crew; Flow meter damaged at END, missing wings; Distance traveled - 1.5 miles; Depth - 57 ft; COG - 308; SOG - 3.1 knots"
CB7-Manta-DUP-16Nov2017,CB07,11/16/2017,Grab,2,37.77953,-122.35372,128450.1084,415,17-18_MP_Moore,WQ,17-18_MP_Moore,SFEI,,OpenWater1,Line,2:22:00 PM,Trawl,5Gyres Manta Trawl,0,m,Surface,Stopped for minute to take RBR. Eel grass on flow meter. 3 + [???] + tons of microplastics (lots of colors)
