SampleID,StationCode,SampleDate,Replicate,ActualLatitude,ActualLongitude,Mass,Count,ProjectCode,EventCode,ProtocolCode,AgencyCode,SampleComments,LocationCode,GeometryShape,SampleTypeCode,CollectionTime,CollectionMethodCode,CollectionDeviceName,CollectionDepth,UnitCollectionDepth,PositionWaterColumn,LabCollectionComments
17MMP-S-LSB04-MP-FB,LSB04,6/6/2017,1,37.486383,-122.068883,100,151,17-18_MP_Moore,WQ,17-18_MP_Moore,SFEI,,Not Applicable,Point,FieldBlank,1:00:00 PM,Not Applicable,"scoop, stainless steel",-88,cm,Not Applicable,
15RMPMC-CB10-MP1,CB10,7/28/2015,1,37.906683,-122.34667,43.4,163,17-18_MP_Moore,WQ,17-18_MP_Moore,SFEI,,"Intertidal, Mudflat",Point,Grab,3:48:00 PM,Sed_Grab,"scoop, polyethylene",5,cm,Not Applicable,
15RMPMC-CB15-MP1,CB15,9/1/2015,1,37.8279,-122.303417,95.7,405,17-18_MP_Moore,WQ,17-18_MP_Moore,SFEI,,"Intertidal, Mudflat",Point,Grab,1:13:00 PM,Sed_Grab,"scoop, polyethylene",5,cm,Not Applicable,
15RMPMC-CB32-MP1,CB32,9/1/2015,1,37.756633,-122.2204,118.1,384,17-18_MP_Moore,WQ,17-18_MP_Moore,SFEI,,"Intertidal, Mudflat",Point,Grab,4:44:00 PM,Sed_Grab,"scoop, polyethylene",5,cm,Not Applicable,
15RMPMC-CB37-MP1,CB37,8/31/2015,1,37.6414,-122.3945,93.2,363,17-18_MP_Moore,WQ,17-18_MP_Moore,SFEI,,"Intertidal, Mudflat",Point,Grab,1:00:00 PM,Sed_Grab,"scoop, polyethylene",5,cm,Not Applicable,
17MMP-S-LSB02-MP-1,LSB02,6/5/2017,1,37.4629,-122.105033,16,963,17-18_MP_Moore,WQ,17-18_MP_Moore,SFEI,,"Intertidal, Mudflat",Point,Grab,11:45:00 AM,Sed_Grab,"scoop, stainless steel",5,cm,Not Applicable,
17MMP-S-LSB04-MP,LSB04,6/6/2017,1,37.486383,-122.068883,29.2,343,17-18_MP_Moore,WQ,17-18_MP_Moore,SFEI,,"Intertidal, Mudflat",Point,Grab,12:49:00 PM,Sed_Grab,"scoop, stainless steel",5,cm,Not Applicable,
17MMP-S-LSB06-MP,LSB06,6/8/2017,1,37.457617,-122.092033,23,330,17-18_MP_Moore,WQ,17-18_MP_Moore,SFEI,,"Intertidal, Mudflat",Point,Grab,12:00:00 PM,Sed_Grab,"scoop, stainless steel",5,cm,Not Applicable,
17MMP-S-SB051-MP,SB051,7/6/2017,1,37.601767,-122.362,66.6,175,17-18_MP_Moore,WQ,17-18_MP_Moore,SFEI,,"Intertidal, Mudflat",Point,Grab,11:35:00 AM,Sed_Grab,"scoop, stainless steel",5,cm,Not Applicable,
17MMP-S-SB056-MP,SB056,7/17/2017,1,37.560516,-122.130917,150,75,17-18_MP_Moore,WQ,17-18_MP_Moore,SFEI,,"Intertidal, Mudflat",Point,Grab,6:15:00 AM,Sed_Grab,"scoop, stainless steel",5,cm,Not Applicable,
17MMP-S-SB074-MP,SB074,7/17/2017,1,37.52775,-122.184,150,120,17-18_MP_Moore,WQ,17-18_MP_Moore,SFEI,,"Intertidal, Mudflat",Point,Grab,8:15:00 AM,Sed_Grab,"scoop, stainless steel",5,cm,Not Applicable,
17MMP-S-SOSL16-MP-1,SOSL16,6/7/2017,1,37.4576,-122.03995,24,398,17-18_MP_Moore,WQ,17-18_MP_Moore,SFEI,,"Intertidal, Mudflat",Point,Grab,12:35:00 PM,Sed_Grab,"scoop, stainless steel",5,cm,Not Applicable,
17MMP-S-SOSL16-MP-2,SOSL16,6/7/2017,2,37.4576,-122.03995,25.7,297,17-18_MP_Moore,WQ,17-18_MP_Moore,SFEI,,"Intertidal, Mudflat",Point,Grab,12:35:00 PM,Sed_Grab,"scoop, stainless steel",5,cm,Not Applicable,
17MMP-S-SOSL40-MP,SOSL40,6/6/2017,1,37.462083,-122.022217,4.4,162,17-18_MP_Moore,WQ,17-18_MP_Moore,SFEI,,"Intertidal, Mudflat",Point,Grab,2:15:00 PM,Sed_Grab,"scoop, stainless steel",5,cm,Not Applicable,
17MMP-S-SPB128-MP,SPB128,6/21/2017,1,38.01565,-122.30025,150,203,17-18_MP_Moore,WQ,17-18_MP_Moore,SFEI,,"Intertidal, Mudflat",Point,Grab,12:25:00 PM,Sed_Grab,"scoop, stainless steel",5,cm,Not Applicable,
17MMP-S-SPB15-MP-1,SPB15,6/20/2017,1,38.108383,-122.488233,95,349,17-18_MP_Moore,WQ,17-18_MP_Moore,SFEI,,"Intertidal, Mudflat",Point,Grab,9:20:00 AM,Sed_Grab,"scoop, stainless steel",5,cm,Not Applicable,
