SampleID,StationCode,SampleDate,ActualLatitude,ActualLongitude,EndLatitude,EndLongitude,Datum
CB4-Manta-16Nov2017,CB04,11/16/2017,37.92291,-122.43303,37.91533,-122.41528,WGS84
CB-4-Manta-21Aug2017,CB04,8/21/2017,37.91556667,-122.4412167,37.94193333,-122.4199833,WGS84
CB5-Manta-16Nov2017,CB05,11/16/2017,37.84451,-122.40693,37.83128833,-122.3869083,WGS84
CB5-Manta-22Aug2017,CB05,8/22/2017,37.84303333,-122.4150333,37.8517,-122.4543,WGS84
CB5-Manta-5Nov2017,CB05,11/5/2017,37.84506667,-122.40658,37.832945,-122.38561,WGS84
CB5-Manta-DUP-5Nov2017,CB05,11/5/2017,37.84506667,-122.40658,37.84143,-122.3912733,WGS84
CB6-Manta-16Nov2017,CB06,11/16/2017,37.83391,-122.32214,37.828085,-122.3466933,WGS84
CB6-Manta-22Aug2017,CB06,8/22/2017,37.83421667,-122.3204,37.828,-122.3367,WGS84
CB7-Manta-16Nov2017,CB07,11/16/2017,37.77953,-122.35372,37.77857333,-122.344425,WGS84
CB7-Manta-22Aug2017,CB07,8/22/2017,37.77808333,-122.3549167,37.80366667,-122.3808333,WGS84
CB7-Manta-DUP-16Nov2017,CB07,11/16/2017,37.77953,-122.35372,37.778985,-122.3437767,WGS84
CB8-Manta-11Jan18,CB08,1/11/2018,37.75053,-122.22776,37.771515,-122.2359333,WGS84
CB8-Manta-25Aug2017,CB08,8/25/2017,37.751445,-122.2259517,37.76930167,-122.2309717,WGS84
CB8-Manta-DUP-25Aug2017,CB08,8/25/2017,37.751445,-122.2259517,37.769635,-122.23022,WGS84
CB9-Manta-11Jan18,CB09,1/11/2018,37.69363,-122.29905,37.70372,-122.3181417,WGS84
CB9-Manta-22Aug2017,CB09,8/22/2017,37.68723333,-122.2909167,37.6985,-122.2984333,WGS84
CB9-Manta-Blank-11Jan18,CB09,1/11/2018,37.69363,-122.29905,,,WGS84
CBNMS22-Manta-12Sept2017,CBNMS22,9/12/2017,38.10675167,-123.1137533,38.09707167,-123.0980333,WGS84
CBNMS22-Manta-30Mar2018,CBNMS22,3/30/2018,38.100872,-123.113727,38.079108,-123.10104,WGS84
CBNMS22-Manta-30Mar2018,CBNMS22,3/30/2018,38.100872,-123.113727,38.079108,-123.10104,WGS84
CBNMS23-Manta-12Sept2017,CBNMS23,9/12/2017,38.03457833,-123.3131433,38.042805,-123.2847383,WGS84
CBNMS23-Manta-29Mar2018,CBNMS23,3/29/2018,38.023015,-123.331017,38.002558,-123.324145,WGS84
CBNMS24-Manta-13Sept2017,CBNMS24,9/13/2017,37.985345,-123.497305,37.98027833,-123.46576,WGS84
CBNMS24-Manta-29Mar2018,CBNMS24,3/29/2018,37.972998,-123.48697,37.962322,-123.450895,WGS84
GFNMS25-Manta-11Sept2017,GFNMS25,9/11/2017,37.96701333,-122.9271783,37.95744833,-122.9043083,WGS84
GFNMS25-Manta-30Mar2018,GFNMS25,3/30/2018,37.969478,-122.926965,37.965808,-122.95946,WGS84
GFNMS25-Manta-Blank-11Sept2017,GFNMS25,9/11/2017,37.96701333,-122.9271783,,,WGS84
GFNMS26-Manta-12Sept2017,GFNMS26,9/12/2017,37.82129633,-123.006837,37.81852,122.979968,WGS84
GFNMS26-Manta-29Mar2018,GFNMS26,3/29/2018,37.820807,-123.01767,37.825132,-123.040237,WGS84
GFNMS26-Manta-DUP-12Sept2017,GFNMS26,9/12/2017,37.82129633,-123.006837,37.81796,-122.98662,WGS84
GFNMS27-Manta-13Sept2017,GFNMS27,9/13/2017,37.73270833,-123.26296,37.72457833,-123.25116,WGS84
GFNMS27-Manta-29Mar2018,GFNMS27,3/29/2018,37.7465,-123.256107,37.759293,-123.268202,WGS84
GFNMS28-Manta-13Sept2017,GFNMS28,9/13/2017,37.80578667,-122.7561233,37.80425,-122.7289117,WGS84
GFNMS28-Manta-30Mar2018,GFNMS28,3/30/2018,37.806352,-122.758252,37.807187,-122.722978,WGS84
